Month,Comics,Manga
2004-01,74,53
2004-02,69,47
2004-03,72,51
2004-04,76,51
2004-05,75,51
2004-06,75,51
2004-07,88,52
2004-08,77,52
2004-09,65,50
2004-10,71,49
2004-11,66,45
2004-12,66,48
2005-01,70,51
2005-02,72,44
2005-03,67,47
2005-04,65,46
2005-05,64,49
2005-06,71,52
2005-07,71,47
2005-08,63,46
2005-09,60,46
2005-10,69,47
2005-11,58,51
2005-12,60,48
2006-01,56,46
2006-02,55,46
2006-03,58,42
2006-04,54,45
2006-05,58,43
2006-06,61,44
2006-07,62,48
2006-08,56,54
2006-09,55,48
2006-10,55,45
2006-11,53,46
2006-12,54,49
2007-01,51,53
2007-02,55,52
2007-03,56,56
2007-04,53,58
2007-05,57,60
2007-06,56,63
2007-07,57,63
2007-08,55,69
2007-09,52,65
2007-10,53,59
2007-11,54,64
2007-12,50,71
2008-01,51,68
2008-02,51,65
2008-03,49,69
2008-04,53,71
2008-05,58,74
2008-06,54,74
2008-07,56,74
2008-08,54,74
2008-09,47,66
2008-10,49,69
2008-11,52,73
2008-12,54,74
2009-01,53,81
2009-02,51,71
2009-03,52,76
2009-04,49,76
2009-05,52,77
2009-06,49,73
2009-07,55,80
2009-08,51,77
2009-09,53,72
2009-10,48,71
2009-11,49,69
2009-12,51,73
2010-01,45,77
2010-02,48,69
2010-03,46,74
2010-04,49,84
2010-05,51,86
2010-06,46,89
2010-07,46,93
2010-08,45,100
2010-09,44,88
2010-10,45,86
2010-11,45,79
2010-12,47,80
2011-01,46,68
2011-02,46,64
2011-03,44,64
2011-04,48,64
2011-05,49,68
2011-06,54,66
2011-07,55,69
2011-08,53,69
2011-09,56,60
2011-10,55,64
2011-11,56,63
2011-12,57,67
2012-01,56,63
2012-02,57,67
2012-03,61,72
2012-04,61,85
2012-05,70,74
2012-06,61,70
2012-07,64,69
2012-08,58,76
2012-09,53,62
2012-10,52,59
2012-11,48,63
2012-12,53,66
2013-01,49,65
2013-02,50,58
2013-03,51,60
2013-04,52,63
2013-05,54,69
2013-06,52,65
2013-07,56,72
2013-08,51,71
2013-09,49,66
2013-10,50,63
2013-11,51,63
2013-12,52,63
2014-01,48,67
2014-02,47,65
2014-03,50,64
2014-04,52,72
2014-05,55,74
2014-06,51,75
2014-07,56,78
2014-08,53,79
2014-09,47,71
2014-10,54,70
2014-11,52,69
2014-12,53,61
2015-01,51,61
2015-02,50,56
2015-03,53,60
2015-04,52,60
2015-05,58,61
2015-06,52,60
2015-07,54,64
2015-08,51,58
2015-09,49,53
2015-10,55,52
2015-11,55,59
2015-12,52,61
2016-01,45,51
2016-02,49,47
2016-03,53,47
2016-04,56,46
2016-05,53,50
2016-06,49,50
2016-07,47,48
2016-08,46,44
2016-09,43,41
2016-10,56,40
2016-11,48,38
2016-12,47,40
2017-01,43,40
2017-02,47,39
2017-03,44,39
2017-04,47,42
2017-05,52,40
2017-06,51,41
2017-07,51,43
2017-08,46,40
2017-09,42,35
2017-10,45,35
2017-11,48,35
2017-12,50,40
2018-01,43,41
2018-02,45,38
2018-03,46,39
2018-04,49,41
2018-05,54,40
2018-06,50,39
2018-07,47,42
2018-08,44,40
2018-09,42,38
2018-10,44,40
2018-11,45,38
2018-12,45,41
2019-01,45,42
2019-02,42,42
2019-03,46,42
2019-04,46,42
2019-05,47,42
2019-06,46,44
2019-07,46,46
2019-08,43,43
2019-09,38,43
2019-10,41,44
2019-11,39,42
2019-12,39,49
2020-01,38,49
2020-02,39,48
2020-03,38,50
2020-04,38,56
2020-05,40,59
2020-06,44,59
2020-07,44,64
2020-08,45,62
2020-09,42,61
2020-10,40,65
2020-11,38,68
2020-12,42,72
2021-01,42,80
2021-02,48,84
2021-03,48,93
2021-04,49,96
2021-05,48,84
